Participant	Trial	Condition	Frame_ID	Word_pred	FFD_ms	GD_ms	TRT_ms
6	28	3	4	0	166.2	166.2	1199.6
6	18	4	5	0.4	449.9	984.1	984.1
6	36	1	6	0.95	266.6	266.6	266.6
6	5	2	7	0	483.2	882.5	1898.5
6	10	3	8	0.5	284	284	1450.3
6	33	4	9	0	383.9	717.1	4118.4
6	14	1	10	0.7	233.3	233.3	233.3
6	29	2	11	0.6	749.7	749.7	749.7
6	21	3	12	0.3	666.6	666.6	666.6
6	30	4	13	0.15	385.3	1884.8	1884.8
6	37	1	14	0.4	0	0	0
6	11	2	15	0	599.8	984	984
6	32	3	16	0	649.7	649.7	649.7
6	23	4	17	0	783	783	2482.3
6	17	1	18	0.3	565.9	565.9	565.9
6	34	2	19	0.8	866.3	866.3	1866
6	40	3	20	0.05	1083.3	1083.3	1083.3
6	6	4	21	0	1598.7	1598.7	1598.7
6	39	1	22	0.45	299.9	299.9	299.9
6	13	2	23	0.15	249.9	249.9	249.9
6	12	3	24	0	1132.8	1132.8	1132.8
6	38	4	25	0	849.9	849.9	1817
6	7	1	26	0.05	0	0	0
6	31	2	27	0	1332.8	1332.8	1332.8
6	20	3	28	0	216.5	216.5	216.5
6	35	4	29	0	733.5	733.5	3316.6
6	1	1	30	0.5	0	0	0
6	9	2	31	0	233.7	233.7	233.7
6	2	3	32	0.35	166.9	166.9	166.9
6	24	4	33	0	768	768	4050.9
6	4	1	34	0.2	399.8	399.8	399.8
6	8	2	35	0.1	1049.5	1049.5	2269.1
6	19	3	36	0.05	533.9	533.9	533.9
6	16	4	37	0.05	399.9	399.9	666.4
6	25	1	38	0.1	0	0	0
6	3	2	39	0.35	200	200	200
6	27	3	40	0.1	449.8	449.8	449.8
6	2	4	41	0.15	583.1	583.1	1266.4
6	12	1	42	0	233.2	233.2	233.2
6	27	2	43	0.25	933	2115.9	2115.9
6	36	3	44	0	366.7	366.7	366.7
6	10	4	45	0	333.1	333.1	333.1
6	38	1	46	0.3	233.2	233.2	233.2
6	37	2	47	0	233.2	233.2	1083
6	24	3	48	0.1	615.4	615.4	1232.2
6	30	4	49	0.1	334	1550.4	2315.5
6	15	1	50	0.9	216	216	216
6	34	2	51	0.9	183.2	183.2	449.9
6	19	3	52	0.65	283.5	283.5	283.5
6	4	4	53	0.1	2648.2	2648.2	2648.2
6	22	1	54	0.95	0	0	0
6	13	2	55	0	515.8	515.8	1366.9
6	7	3	56	0.6	649.8	733.1	733.1
6	25	4	57	0.4	233.1	2265.3	2265.3
6	28	1	58	0.65	433.1	433.1	1016.2
6	8	2	59	0.8	0	0	0
6	32	3	60	0.1	932.8	932.8	932.8
6	33	4	61	0.05	584.6	584.6	2268.2
6	17	1	62	0	250	250	250
6	3	2	63	0.15	416.4	998	2131.3
6	16	3	64	0	781.5	1247.9	1247.9
6	6	4	65	0	233	233	233
6	18	1	66	0.15	0	0	0
6	5	2	67	0.05	251.6	251.6	251.6
6	40	3	68	0.05	316.5	598.9	1915.1
6	26	4	69	0	932.7	932.7	932.7
6	39	1	70	0.3	0	0	0
6	20	2	71	0.05	733.1	733.1	733.1
6	35	3	72	0.6	450.8	450.8	450.8
6	21	4	73	0	334.2	334.2	933.4
6	29	1	74	0	0	0	0
6	23	2	75	0.45	1266.2	1632.5	1632.5
6	9	3	76	0	383.1	916.3	916.3
6	31	4	77	0	782.7	782.7	2198.3
6	11	1	78	0.05	401.9	401.9	401.9
6	1	2	79	0.1	200.1	200.1	549.9
6	14	3	80	0.6	433.1	1115.8	2147
7	39	3	1	0	268	735.5	2618.1
7	18	4	2	0.2	1149.9	1149.9	1149.9
7	3	1	3	0.2	199.3	199.3	417.2
7	37	2	4	0	183.3	183.3	898.2
7	10	3	5	0.4	199.9	199.9	2215.7
7	32	4	6	0.95	0	0	0
7	28	1	7	0	399.7	399.7	399.7
7	14	2	8	0.5	166.5	166.5	482.5
