Participant_Num	Frame_Num	Condition	Fixation_Num	Pupil_Size	Fixation_Time	Trial	Word_pred
2	15	3	3	2.7	334.2	4	0
2	15	3	4	2.8	NA	4	0
2	15	3	5	2.9	1266.2	4	0
2	16	4	1	2.7	383.1	24	0
2	16	4	2	2.7	782.7	24	0
2	16	4	3	2.7	401.9	24	0
2	16	4	4	2.7	200.1	24	0
2	16	4	5	2.7	433.1	24	0
2	17	1	1	NA	268	3	0
2	17	1	2	NA	1149.9	3	0
2	17	1	3	NA	199.3	3	0
2	17	1	4	NA	183.3	3	0
2	17	1	5	NA	199.9	3	0
2	18	2	1	2.7	NA	8	0.3
2	18	2	2	2.7	399.7	8	0.3
2	18	2	3	2.8	166.5	8	0.3
2	18	2	4	2.8	133.3	8	0.3
2	18	2	5	2.7	366.4	8	0.3
2	19	3	1	2.7	200.4	29	0.8
2	19	3	2	2.6	199.1	29	0.8
2	19	3	3	2.6	899.7	29	0.8
2	19	3	4	2.6	183.3	29	0.8
2	19	3	5	2.6	399.8	29	0.8
2	20	4	1	3.1	133.7	17	0.05
2	20	4	2	2.9	749.7	17	0.05
2	20	4	3	2.9	366.8	17	0.05
2	20	4	4	2.9	183.2	17	0.05
2	20	4	5	2.9	232.4	17	0.05
2	21	1	1	2.8	549.6	11	0
2	21	1	2	2.8	100	11	0
2	21	1	3	2.8	NA	11	0
2	21	1	4	2.8	269.8	11	0
2	21	1	5	2.8	266	11	0
2	22	2	1	3.1	215.7	5	0.45
2	22	2	2	3	183.6	5	0.45
2	22	2	3	2.8	83.5	5	0.45
2	22	2	4	2.8	549.6	5	0.45
2	22	2	5	3	349	5	0.45
2	23	3	1	3	NA	19	0.15
2	23	3	2	2.9	999.8	19	0.15
2	23	3	3	2.9	216.5	19	0.15
2	23	3	4	2.8	200	19	0.15
2	23	3	5	2.9	150.1	19	0.15
2	24	3	1	2.7	NA	38	0
2	24	3	2	2.6	182.6	38	0
2	24	3	3	2.6	333.8	38	0
2	24	3	4	2.6	300.2	38	0
2	24	3	5	2.6	216.6	38	0
2	25	1	1	NA	549.4	10	0
2	25	1	2	NA	316.9	10	0
2	25	1	3	NA	516.5	10	0
2	25	1	4	NA	184.3	10	0
2	25	1	5	NA	735.2	10	0
2	26	2	1	2.6	166.5	25	0.05
2	26	2	2	2.5	166.7	25	0.05
2	26	2	3	2.5	516.6	25	0.05
2	26	2	4	2.5	199.9	25	0.05
2	26	2	5	2.5	849.7	25	0.05
2	27	3	1	3	NA	13	0
2	27	3	2	2.9	152.3	13	0
2	27	3	3	2.9	516.5	13	0
2	27	3	4	3	949.7	13	0
2	27	3	5	2.9	283.6	13	0
2	28	4	1	2.4	183.3	37	0
2	28	4	2	3	283.3	37	0
2	28	4	3	2.6	399.3	37	0
2	28	4	4	NA	483.1	37	0
2	28	4	5	NA	633	37	0
2	29	1	1	NA	183.3	33	0
2	29	1	2	NA	382.4	33	0
2	29	1	3	NA	383.2	33	0
2	29	1	4	NA	149.1	33	0
2	29	1	5	NA	NA	33	0
2	30	2	1	2.6	533	36	0.5
2	30	2	2	2.7	366.3	36	0.5
2	30	2	3	2.8	NA	36	0.5
2	30	2	4	2.9	466.7	36	0.5
2	30	2	5	2.7	233.2	36	0.5
2	31	3	1	2.6	NA	9	0
2	31	3	2	2.7	166.3	9	0
2	31	3	3	2.8	349.7	9	0
2	31	3	4	2.7	532.6	9	0
2	31	3	5	2.7	149.9	9	0
2	32	4	1	2.9	233.1	22	0.35
2	32	4	2	2.9	NA	22	0.35
2	32	4	3	3	849.4	22	0.35
2	32	4	4	2.4	250.5	22	0.35
2	32	4	5	2.9	316.5	22	0.35
2	33	1	1	3.1	684.1	31	0
2	33	1	2	3.2	400.1	31	0
2	33	1	3	3.1	283.3	31	0
2	33	1	4	3.2	334.8	31	0
2	33	1	5	3.2	NA	31	0
2	34	2	1	2.9	350.6	14	0.2
2	34	2	2	3	367.1	14	0.2
2	34	2	3	3	NA	14	0.2
2	34	2	4	3	201	14	0.2
2	34	2	5	3	199.8	14	0.2
2	35	3	1	2.8	150	35	0.1
2	35	3	2	2.8	217.1	35	0.1
2	35	3	3	2.7	216	35	0.1
2	35	3	4	2.6	216.6	35	0.1
2	35	3	5	NA	166.5	35	0.1
2	36	4	1	2.9	201.1	34	0.05
2	36	4	2	2.8	549.7	34	0.05
2	36	4	3	2.8	149.6	34	0.05
2	36	4	4	2.7	482.8	34	0.05
2	36	4	5	2.8	NA	34	0.05
2	37	1	1	2.9	249.2	18	0.05
2	37	1	2	2.9	333.2	18	0.05
2	37	1	3	2.9	134	18	0.05
2	37	1	4	3	NA	18	0.05
2	37	1	5	2.9	184	18	0.05
2	38	2	1	2.8	266.6	12	0.1
2	38	2	2	2.9	250.2	12	0.1
2	38	2	3	2.8	NA	12	0.1
2	38	2	4	2.9	416.6	12	0.1
2	38	2	5	2.9	183.6	12	0.1
2	39	3	1	2.8	333.6	15	0.35
2	39	3	2	2.8	233.6	15	0.35
2	39	3	3	2.8	182.8	15	0.35
2	39	3	4	2.8	NA	15	0.35
2	39	3	5	2.8	166.7	15	0.35
2	40	4	1	2.7	400.5	30	0.1
2	40	4	2	2.6	167.4	30	0.1
2	40	4	3	2.5	NA	30	0.1
2	40	4	4	2.6	250.9	30	0.1
2	40	4	5	2.6	800.2	30	0.1
2	41	1	1	2.5	NA	21	0.15
2	41	1	2	2.6	632.4	21	0.15
2	41	1	3	2.5	183.8	21	0.15
2	41	1	4	2.1	249.9	21	0.15
2	41	1	5	NA	NA	21	0.15
2	42	2	1	2.6	748.5	10	0
2	42	2	2	2.6	199.7	10	0
2	42	2	3	2.7	229.7	10	0
2	42	2	4	2.8	266.6	10	0
2	42	2	5	2.6	534.6	10	0
2	43	3	1	2.9	367.2	37	0.25
2	43	3	2	2.8	516.6	37	0.25
2	43	3	3	2.7	450.7	37	0.25
2	43	3	4	3	183.4	37	0.25
2	43	3	5	2.8	1166.6	37	0.25
2	44	4	1	2.5	799.8	33	0
2	44	4	2	2.6	151.2	33	0
2	44	4	3	2.6	NA	33	0
2	44	4	4	2.6	266.9	33	0
2	44	4	5	2.6	333.3	33	0
2	45	1	1	2.6	684.8	2	0
2	45	1	2	2.6	233.3	2	0
2	45	1	3	2.8	166.7	2	0
2	45	1	4	3	532.1	2	0
2	45	1	5	2.6	300.7	2	0
2	46	2	1	2.6	134	23	0.3
2	46	2	2	2.7	533.2	23	0.3
2	46	2	3	2.7	449.7	23	0.3
2	46	2	4	2.5	265.5	23	0.3
2	46	2	5	2.7	NA	23	0.3
2	47	3	1	2.5	383	29	0
2	47	3	2	NA	300.1	29	0
2	47	3	3	NA	NA	29	0
2	47	3	4	NA	149.9	29	0
2	47	3	5	NA	266.1	29	0
2	48	4	1	1.8	280.5	26	0.1
2	48	4	2	2	366.6	26	0.1
2	48	4	3	1.8	383.1	26	0.1
2	48	4	4	2.4	299.8	26	0.1
2	48	4	5	2	533.9	26	0.1
2	49	1	1	2.6	516.2	15	0.1
2	49	1	2	2.8	216.6	15	0.1
2	49	1	3	2.8	184.3	15	0.1
2	49	1	4	NA	183.2	15	0.1
2	49	1	5	NA	249.9	15	0.1
2	50	2	1	2.7	NA	3	0.9
2	50	2	2	2.7	279.6	3	0.9
2	50	2	3	2.6	434.4	3	0.9
2	50	2	4	2.7	300.1	3	0.9
2	50	2	5	2.7	NA	3	0.9
2	51	1	1	NA	466.5	16	0.9
2	51	1	2	NA	233.3	16	0.9
2	51	1	3	NA	533	16	0.9
2	51	1	4	NA	NA	16	0.9
2	51	1	5	NA	549.7	16	0.9
2	52	4	1	2.8	284	4	0.65
